state,year,month,precip_in,temp_mean_f,temp_max_f,temp_min_f,wind_speed_ms,pressure_hpa
OK,2018,8,4.27,79.9,91,68.8,3.4603091397849464,976.1559139784946
OK,2018,9,5.5,73.9,83.6,64.2,3.1978472222222223,976.5986111111112
OK,2018,10,6.55,60.1,70.3,50,3.5153763440860213,977.6670698924733
OK,2018,11,1.09,44.5,57,32,3.810819444444444,977.9548611111112
OK,2018,12,3.82,40.8,51.5,30.1,3.832258064516129,977.6763440860216
OK,2019,1,2.1,38.3,48.9,27.7,3.9074059139784945,979.5525537634408
OK,2019,2,1.48,40.3,50.4,30.1,3.8798958333333338,976.9636904761904
OK,2019,3,2.63,47.3,58.8,35.8,3.9361559139784945,979.8299731182796
OK,2019,4,3.91,60.4,73.1,47.7,4.510541666666667,972.80875
OK,2019,5,11.61,67,77.4,56.6,4.228440860215054,971.905241935484
OK,2019,6,5.09,75.4,86.7,64.1,3.4204305555555554,974.1133333333332
OK,2019,7,1.83,80.8,92.6,69,3.3912096774193548,976.2899193548388
OK,2019,8,5.14,82.4,93.7,71.1,3.284771505376344,974.8174731182796
OK,2019,9,3.01,79.7,90.9,68.6,3.6482083333333337,976.1252777777778
OK,2019,10,4.75,57.4,70,44.8,4.349865591397849,976.3935483870968
OK,2019,11,2.34,46.2,59.3,33,3.830819444444444,978.7411111111112
OK,2019,12,1.09,43.2,55.3,31.1,3.7175806451612905,977.893682795699
OK,2020,1,3.6,42.2,53.6,30.9,4.016182795698925,978.7235215053764
OK,2020,2,1.83,41.8,53.1,30.4,4.031551724137931,978.3451149425288
OK,2020,3,5.17,55.5,66.6,44.3,4.080860215053764,976.6775537634408
OK,2020,4,2.92,57.9,71.1,44.7,4.231416666666667,974.2379166666668
OK,2020,5,5.07,67.2,78.9,55.5,3.798844086021506,974.799193548387
OK,2020,6,2.09,78.8,91.2,66.3,4.098166666666667,974.8576388888888
OK,2020,7,4.75,82.6,93.6,71.6,3.280040322580646,974.8346774193548
OK,2020,8,2.79,79.4,91.9,67,3.064368279569893,975.3188172043012
OK,2020,9,4.4,70.3,81.8,58.8,3.0071944444444445,977.5858333333332
OK,2020,10,3.21,58.3,71.3,45.2,3.9455913978494626,977.9077956989248
OK,2020,11,1.1,53.5,66.5,40.6,4.329555555555555,980.1054166666668
OK,2020,12,2.28,41,53.5,28.6,3.8120833333333337,978.259811827957
OK,2021,1,2.25,39.7,50.1,29.3,3.7271236559139784,978.2668010752687
OK,2021,2,0.8,31.3,42,20.6,3.898556547619048,979.4434523809524
OK,2021,3,3.19,53.9,66.4,41.4,4.6245161290322585,976.5829301075267
OK,2021,4,3.44,57.4,69.8,45,4.500166666666667,975.2343055555556
OK,2021,5,5.6,65.9,75.8,55.9,3.831236559139785,976.5739247311828
OK,2021,6,5.04,77.4,88.4,66.3,3.3012916666666667,974.4101388888888
OK,2021,7,3.68,80,91.1,68.8,2.757056451612903,977.1061827956988
OK,2021,8,2.56,81.3,92.6,70,3.464583333333333,975.836559139785
OK,2021,9,1.09,76.7,91,62.5,3.584986111111111,975.9016666666666
OK,2021,10,4.2,64.4,77.5,51.2,4.20510752688172,974.3405913978496
OK,2021,11,0.9,51.2,64.5,37.8,4.0294027777777774,980.2595833333334
OK,2021,12,0.87,50.4,64.6,36.2,4.103615591397849,973.8844086021504
OK,2022,1,0.65,37,51.8,22.2,3.989825268817204,981.0198924731184
OK,2022,2,1.7,38.5,52.6,24.3,4.319627976190477,981.4754464285714
OK,2022,3,2.59,50.4,65.2,35.7,4.575591397849462,975.017741935484
OK,2022,4,2.65,61,74.6,47.4,5.190013888888889,973.1756944444444
OK,2022,5,6.29,70.6,82.2,59,4.911599462365591,971.1217741935484
OK,2022,6,3.71,79.4,91,67.8,3.750930555555556,975.2070833333332
OK,2022,7,1.61,86.6,100.3,72.8,3.51625,975.1298387096774
OK,2022,8,2.16,82.5,94.9,70.2,3.1946102150537636,975.9493279569892
OK,2022,9,0.79,75.9,90.6,61.2,3.33225,977.1451388888888
OK,2022,10,2.85,62,76.4,47.6,3.514717741935484,977.3833333333332
OK,2022,11,2.66,47.3,58.6,36.1,4.028236111111111,979.4736111111112
OK,2022,12,1.91,40.1,51.1,29.1,3.801693548387097,978.9493279569892
OK,2023,1,1.28,42.4,55.1,29.8,3.94255376344086,976.2505376344086
OK,2023,2,2.49,44,56.7,31.2,4.150386904761905,977.0630952380952
OK,2023,3,3.09,50.4,62.4,38.4,4.3647177419354835,975.3361559139784
OK,2023,4,2.36,58.7,72.4,44.9,4.314444444444445,974.9055555555556
OK,2023,5,4.15,69.1,80.5,57.7,2.9817741935483872,975.0702956989248
OK,2023,6,4.45,76.7,88.4,64.9,2.7880833333333332,971.9619444444444
OK,2023,7,5.77,81.9,93.6,70.1,3.3126612903225805,975.3241935483873
OK,2023,8,2.32,83.7,97.1,70.3,3.0223252688172044,975.3030913978496
OK,2023,9,2.74,76.7,89.9,63.4,3.418013888888889,975.6569444444444
OK,2023,10,4.04,62.5,75.2,49.9,4.045362903225806,976.5474462365592
OK,2023,11,1.07,51,64.2,37.8,3.5496805555555557,979.0894444444444
OK,2023,12,3.17,44.9,56.3,33.5,3.77255376344086,978.7903225806452
OK,2024,1,2.39,33.9,44.4,23.4,3.5426344086021504,978.674865591398
OK,2024,2,1.26,49.8,63.4,36.2,4.228146551724138,974.4722701149424
OK,2024,3,2.22,54.3,67.2,41.3,4.3647715053763445,973.5342741935484
OK,2024,4,3.85,62.6,75.4,49.9,4.802152777777778,972.8726388888888
OK,2024,5,5.6,70.6,82.3,59,3.6763306451612903,970.4958333333332
OK,2024,6,3.39,80.3,91.7,68.9,3.791513888888889,973.37375
OK,2024,7,3.26,81.4,93.1,69.7,3.3423252688172043,976.2130376344086
OK,2024,8,2.63,83.4,96.1,70.6,3.284274193548387,977.1719086021506
OK,2024,9,1.61,74.8,88.6,60.9,2.782583333333333,975.8390277777778
OK,2024,10,0.77,68.1,83.8,52.4,3.802096774193549,979.2770161290324
OK,2024,11,7.93,53.3,65.1,41.4,4.318222222222222,975.4731944444444
OK,2024,12,1.54,45.1,56.5,33.7,4.2636155913978495,980.0173387096776
OK,2025,1,1.25,34.1,46.1,22.2,4.172150537634408,982.5833333333334
OK,2025,2,0.68,39.2,52,26.4,4.646889880952381,980.161011904762
OK,2025,3,2.02,56.5,71.2,41.8,5.892876344086021,971.7537634408602
OK,2025,4,8.13,61.7,73.6,49.8,5.2215,974.4579166666666
